relative_id,timestamp,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z
55,1726865371.898544,9.674527168273926,-0.2632198929786682,0.5120823383331299,0.699999988079071,-4.550000190734863,-0.42000001668930054,57.54401397705078,-5.476356029510498,49.81159210205078,9.822887420654297,-1.1605603694915771,0.7202653288841248,0.14000000059604645,-2.1700000762939453,-1.190000057220459,21.600000381469727,-84.0,-28.350000381469727
56,1726865371.924185,9.693670272827148,-0.2823631465435028,0.5168681740760803,1.3300000429153442,-4.340000152587891,-0.42000001668930054,59.662750244140625,-7.418059825897217,50.574684143066406,9.820494651794434,-1.141417145729065,0.6987291574478149,-0.699999988079071,-2.1700000762939453,-1.0499999523162842,20.25,-85.05000305175781,-27.450000762939453
57,1726865371.981818,9.676919937133789,-0.17946811020374298,0.5192610621452332,2.0999999046325684,-3.990000009536743,-0.3499999940395355,58.35283660888672,-8.261486053466797,50.01339340209961,9.858781814575195,-1.1581674814224243,0.7011220455169678,-1.399999976158142,-2.0299999713897705,-0.8400000333786011,19.80000114440918,-86.25,-26.400001525878906
58,1726865372.007459,9.719992637634277,-0.19382555782794952,0.5192610621452332,1.399999976158142,-3.8499999046325684,-0.3499999940395355,57.911781311035156,-8.196771621704102,49.186702728271484,9.796566009521484,-1.1916682720184326,0.8016242384910583,-1.6800000667572021,-2.0999999046325684,-0.9100000262260437,21.0,-84.60000610351562,-25.650001525878906
59,1726865372.0331001,9.724778175354004,-0.30629223585128784,0.4953319728374481,1.399999976158142,-4.340000152587891,-0.3499999940395355,57.18773651123047,-5.393797874450684,51.510841369628906,9.753493309020996,-1.1605603694915771,0.7561589479446411,-2.0299999713897705,-1.8899999856948853,-1.0499999523162842,20.850000381469727,-83.55000305175781,-26.100000381469727
60,1726865372.04486,9.753493309020996,-0.36850783228874207,0.4642241597175598,2.5199999809265137,-4.480000019073486,-0.5600000023841858,57.64797592163086,-9.213879585266113,49.00817108154297,,,,,,,,,
61,1726865372.058741,9.691277503967285,-0.1507532149553299,0.4929390549659729,3.5,-4.199999809265137,-0.42000001668930054,57.743953704833984,-7.112967014312744,48.8192024230957,9.698456764221191,-1.208418607711792,0.6963362693786621,-2.450000047683716,-2.0299999713897705,-0.8400000333786011,19.950000762939453,-84.45000457763672,-27.750001907348633
62,1726865372.0113368,9.734350204467773,-0.17468228936195374,0.569512128829956,2.940000057220459,-3.990000009536743,-0.42000001668930054,57.112701416015625,-9.649788856506348,49.2148551940918,9.791779518127441,-1.32806396484375,0.6532639265060425,-2.5199999809265137,-2.0299999713897705,-0.6299999952316284,22.200000762939453,-83.25,-26.700000762939453
63,1726865372.0369778,9.751100540161133,-0.22014755010604858,0.5336185097694397,2.380000114440918,-4.059999942779541,-0.6299999952316284,58.89664077758789,-8.864137649536133,51.58515167236328,9.837244987487793,-1.2227760553359985,0.727444052696228,-1.6100000143051147,-2.0999999046325684,-0.5600000023841858,20.850000381469727,-84.30000305175781,-27.750001907348633
64,1726865372.062619,9.782208442687988,-0.26800569891929626,0.4450809061527252,2.6600000858306885,-4.480000019073486,-0.6299999952316284,56.293575286865234,-7.907183647155762,50.23017501831055,9.758278846740723,-1.2132043838500977,0.7729093432426453,-1.0499999523162842,-1.9600000381469727,-1.0499999523162842,20.700000762939453,-84.0,-27.30000114440918
65,1726865372.08826,9.650598526000977,-0.2010042816400528,0.5025107264518738,2.940000057220459,-4.059999942779541,-0.6299999952316284,58.585418701171875,-5.651028633117676,50.05402374267578,9.801351547241211,-1.1940611600875854,0.7848738431930542,-0.5600000023841858,-2.0299999713897705,-1.3300000429153442,21.600000381469727,-83.70000457763672,-26.400001525878906
66,1726865372.0871978,9.66256332397461,-0.08853759616613388,0.49772489070892334,2.1700000762939453,-3.9200000762939453,-0.699999988079071,59.24864196777344,-8.667813301086426,50.916664123535156,9.822887420654297,-1.208418607711792,0.6771929860115051,-0.699999988079071,-1.9600000381469727,-1.0499999523162842,20.400001525878906,-84.30000305175781,-27.450000762939453
67,1726865372.1128387,9.73195743560791,-0.22014755010604858,0.569512128829956,1.5399999618530273,-3.5,-0.3499999940395355,57.85305404663086,-10.569625854492188,49.32720947265625,9.832459449768066,-1.1366313695907593,0.7059078812599182,-0.9100000262260437,-1.9600000381469727,-0.699999988079071,20.55000114440918,-85.20000457763672,-27.450000762939453
68,1726865372.13848,9.81092357635498,-0.2727915346622467,0.4809745252132416,1.6100000143051147,-4.130000114440918,-0.14000000059604645,56.84725570678711,-7.747182846069336,49.41371536254883,9.784601211547852,-1.201239824295044,0.7370156645774841,-1.8200000524520874,-2.0299999713897705,-1.1200000047683716,20.55000114440918,-83.4000015258789,-25.350000381469727
69,1726865372.164121,9.736742973327637,-0.2727915346622467,0.4737958014011383,2.309999942779541,-4.480000019073486,-0.14000000059604645,56.437530517578125,-4.7558159828186035,49.94672775268555,9.798958778381348,-1.2419192790985107,0.8135887384414673,-1.75,-2.0299999713897705,-1.2599999904632568,20.400001525878906,-84.45000457763672,-27.30000114440918
70,1726865372.1622348,9.82528018951416,-0.24886244535446167,0.5144752264022827,2.6600000858306885,-4.340000152587891,-0.14000000059604645,56.45636749267578,-4.751850605010986,50.50804901123047,9.81092357635498,-1.2778129577636719,0.7178724408149719,-1.6800000667572021,-1.8200000524520874,-0.8400000333786011,21.150001525878906,-84.75,-27.450000762939453
71,1726865372.1878757,9.679313659667969,-0.19861137866973877,0.5575475692749023,3.0799999237060547,-3.9200000762939453,-0.3499999940395355,59.4995231628418,-10.853266716003418,49.12571716308594,9.798958778381348,-1.2945632934570312,0.6843717098236084,-1.190000057220459,-1.9600000381469727,-0.699999988079071,20.55000114440918,-83.70000457763672,-27.30000114440918
